#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 22 999 99.0 99.0  1.12 13.33  6.59 263 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 00 52 999 99.0 99.0  1.08 12.50  6.66 260 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 01 22 999 99.0 99.0  1.13 13.33  7.35 267 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 01 52 999 99.0 99.0  1.26 13.33  7.86 270 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 02 22 999 99.0 99.0  1.11 11.76  7.26 263 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 02 52 999 99.0 99.0  1.13 11.11  7.57 280 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 03 22 999 99.0 99.0  1.16 11.76  7.82 274 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 03 52 999 99.0 99.0  1.17 12.50  7.48 268 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 04 22 999 99.0 99.0  1.05 14.29  7.33 273 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 04 52 999 99.0 99.0  1.10 13.33  7.58 274 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 05 22 999 99.0 99.0  0.96 13.33  7.01 275 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 05 52 999 99.0 99.0  1.04 11.11  7.38 277 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 06 22 999 99.0 99.0  0.89 12.50  6.84 271 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 06 52 999 99.0 99.0  0.86 13.33  7.06 273 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 07 22 999 99.0 99.0  0.83 14.29  6.89 263 9999.0 999.0  17.3 999.0 99.0 99.00
2015 01 01 07 52 999 99.0 99.0  0.90 13.33  7.47 251 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 08 22 999 99.0 99.0  0.88 13.33  6.82 259 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 08 52 999 99.0 99.0  0.83 12.50  6.02 266 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 09 22 999 99.0 99.0  0.86 13.33  6.35 250 9999.0 999.0  17.2 999.0 99.0 99.00
2015 01 01 09 52 999 99.0 99.0  0.82 13.33  5.98 264 9999.0 999.0  17.1 999.0 99.0 99.00
2015 01 01 10 22 999 99.0 99.0  0.79 13.33  5.92 263 9999.0 999.0  17.1 999.0 99.0 99.00
2015 01 01 10 52 999 99.0 99.0  0.89 11.76  5.97 254 9999.0 999.0  17.1 999.0 99.0 99.00
2015 01 01 11 22 999 99.0 99.0  0.86 13.33  6.03 254 9999.0 999.0  17.1 999.0 99.0 99.00
2015 01 01 11 52 999 99.0 99.0  0.88 13.33  6.36 256 9999.0 999.0  17.1 999.0 99.0 99.00
