#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 02 02 33 999 99.0 99.0  1.22 15.38  8.65 273 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 03 03 999 99.0 99.0  1.24 15.38  9.47 266 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 03 33 999 99.0 99.0  1.25 14.29  9.35 275 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 04 03 999 99.0 99.0  1.11 15.38  8.37 268 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 04 33 999 99.0 99.0  1.13 13.33  8.72 281 9999.0 999.0  15.1 999.0 99.0 99.00
2014 01 02 05 03 999 99.0 99.0  1.12 15.38  8.44 275 9999.0 999.0  15.1 999.0 99.0 99.00
2014 01 02 05 33 999 99.0 99.0  1.24 15.38  9.02 275 9999.0 999.0  15.1 999.0 99.0 99.00
2014 01 02 06 03 999 99.0 99.0  1.20 14.29  8.83 274 9999.0 999.0  15.1 999.0 99.0 99.00
2014 01 02 06 33 999 99.0 99.0  1.19 12.50  8.94 274 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 07 03 999 99.0 99.0  1.24 14.29  9.09 270 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 07 33 999 99.0 99.0  1.14 14.29  8.58 275 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 08 03 999 99.0 99.0  1.14 15.38  9.25 275 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 08 33 999 99.0 99.0  1.03 14.29  8.57 260 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 09 03 999 99.0 99.0  1.05 14.29  8.99 274 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 09 33 999 99.0 99.0  1.02 14.29  8.91 273 9999.0 999.0  15.0 999.0 99.0 99.00
2014 01 02 10 03 999 99.0 99.0  1.08 14.29  9.55 266 9999.0 999.0  15.1 999.0 99.0 99.00
2014 01 02 10 33 999 99.0 99.0  1.05 14.29  9.44 280 9999.0 999.0  15.1 999.0 99.0 99.00
2014 01 02 11 03 999 99.0 99.0  0.94 14.29  9.03 284 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 11 33 999 99.0 99.0  1.16 13.33 10.19 274 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 12 03 999 99.0 99.0  0.94 15.38  9.23 268 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 12 33 999 99.0 99.0  0.94 14.29  9.41 270 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 13 03 999 99.0 99.0  0.90 13.33  9.52 277 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 13 33 999 99.0 99.0  1.00 14.29 10.22 263 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 14 03 999 99.0 99.0  0.89 14.29  9.33 263 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 14 33 999 99.0 99.0  0.97 14.29  9.67 263 9999.0 999.0  15.2 999.0 99.0 99.00
2014 01 02 15 03 999 99.0 99.0  0.90 14.29  9.26 268 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 15 33 999 99.0 99.0  0.81 13.33  8.67 278 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 16 03 999 99.0 99.0  1.03 14.29 10.12 268 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 16 33 999 99.0 99.0  0.96 14.29  9.53 285 9999.0 999.0  15.3 999.0 99.0 99.00
2014 01 02 17 03 999 99.0 99.0  1.08 14.29 10.19 273 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 17 33 999 99.0 99.0  0.97 14.29  9.84 275 9999.0 999.0  15.4 999.0 99.0 99.00
2014 01 02 18 03 999 99.0 99.0  0.99 13.33 10.04 275 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 18 33 999 99.0 99.0  0.93 13.33  9.72 284 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 19 03 999 99.0 99.0  0.93 13.33  9.17 270 9999.0 999.0  15.6 999.0 99.0 99.00
2014 01 02 19 33 999 99.0 99.0  0.92 14.29  9.34 273 9999.0 999.0  15.6 999.0 99.0 99.00
