#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 53 999 99.0 99.0  1.15 13.33  7.47 245 9999.0 999.0  15.6 999.0 99.0 99.00
2013 01 01 06 23 999 99.0 99.0  1.18 20.00  7.54 274 9999.0 999.0  15.6 999.0 99.0 99.00
2013 01 01 06 53 999 99.0 99.0  1.26 20.00  7.99 274 9999.0 999.0  15.6 999.0 99.0 99.00
2013 01 01 07 23 999 99.0 99.0  1.24 13.33  7.82 268 9999.0 999.0  15.6 999.0 99.0 99.00
2013 01 01 07 53 999 99.0 99.0  1.13 20.00  6.93 274 9999.0 999.0  15.6 999.0 99.0 99.00
2013 01 01 08 23 999 99.0 99.0  1.22  9.88  7.11 272 9999.0 999.0  15.6 999.0 99.0 99.00
2013 01 01 08 53 999 99.0 99.0  1.13 20.00  7.18 267 9999.0 999.0  15.5 999.0 99.0 99.00
2013 01 01 09 23 999 99.0 99.0  1.13 18.18  6.99 279 9999.0 999.0  15.4 999.0 99.0 99.00
2013 01 01 09 53 999 99.0 99.0  1.19 18.18  7.64 275 9999.0 999.0  15.4 999.0 99.0 99.00
2013 01 01 10 23 999 99.0 99.0  1.17 18.18  7.56 282 9999.0 999.0  15.3 999.0 99.0 99.00
2013 01 01 10 53 999 99.0 99.0  1.11 12.50  6.96 243 9999.0 999.0  15.3 999.0 99.0 99.00
2013 01 01 11 23 999 99.0 99.0  1.10 20.00  6.45 278 9999.0 999.0  15.2 999.0 99.0 99.00
2013 01 01 11 53 999 99.0 99.0  1.19 18.18  6.85 281 9999.0 999.0  15.2 999.0 99.0 99.00
2013 01 01 12 23 999 99.0 99.0  1.21 18.18  7.85 279 9999.0 999.0  15.1 999.0 99.0 99.00
2013 01 01 12 53 999 99.0 99.0  1.15 18.18  7.51 281 9999.0 999.0  15.0 999.0 99.0 99.00
2013 01 01 13 23 999 99.0 99.0  1.14 18.18  7.28 274 9999.0 999.0  14.8 999.0 99.0 99.00
2013 01 01 13 53 999 99.0 99.0  1.19 18.18  8.06 275 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 14 23 999 99.0 99.0  1.11 18.18  7.92 274 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 14 53 999 99.0 99.0  1.23 18.18  9.06 279 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 15 23 999 99.0 99.0  1.11 18.18  8.33 272 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 15 53 999 99.0 99.0  1.17 18.18  8.20 278 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 16 23 999 99.0 99.0  1.16 18.18  8.00 276 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 16 53 999 99.0 99.0  1.15 16.67  8.50 276 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 17 23 999 99.0 99.0  1.34 18.18 10.11 276 9999.0 999.0  14.7 999.0 99.0 99.00
